 


  
  

NCAA Women's Volleyball
Division IAces Per Set
Through Games 12/15/2018


"Rank","Name","Team","Cl","Ht","Pos","S","Aces","Per Set"
"68","Kaitlyn Lines","Pacific","So.","6-0","OH","113","437","3.87"
"69","Mikaela Foecke","Nebraska","Sr.","6-3","OH","133","514","3.86"
"70","Megann Delgado","Hampton","Jr.","6-2","RS","103","398","3.86"
"71","Kara Bajema","Washington","Jr.","6-2","OH","123","475","3.86"
"72","Devin Corah","La Salle","Jr.","5-9","OH","107","412","3.85"
"73","Lucia Babic","UMES","Sr.","5-10","OH","92","354","3.85"
"74","Dacia Brown","Murray St.","Sr.","5-11","MB","116","445","3.84"
"75","Liisel Nelis","Sacred Heart","Jr.","5-10","OH","99","379","3.83"
"76","Jaali Winters","Creighton","Sr.","6-3","OH","118","451","3.82"
"77","Taylor Mims","Washington St.","Sr.","6-3","OH","108","411","3.81"
"78","Cheyenne Hayes","Troy","So.","5-9","OH","116","441","3.80"
"79","Nicole Rightnowar","Purdue Fort Wayne","Sr.","5-11","OH","120","455","3.79"
"80","Valerie Valerian","North Texas","So.","6-1","OH","131","495","3.78"
"81","Reeana Richardson","Charlotte","Sr.","5-10","OH","117","441","3.77"
"82","Anett Nemeth","Coastal Caro.","Fr.","6-1","OPP","93","350","3.76"
"83","Rachel Bontrager","Western Mich.","So.","5-11","OH","116","435","3.75"
"84","Dana Rettke","Wisconsin","So.","6-8","MB","117","438","3.74"
"85","Samantha Anderson","Central Ark.","Sr.","6-3","MB","113","422","3.73"
"86","Emma Longley","Appalachian St.","Jr.","5-11","OH","109","406","3.72"
"87","Abby Thelen","Seton Hall","Sr.","6-1","OH","105","391","3.72"
"88","Alexa Smith","Colorado","Sr.","6-1","OH","125","465","3.72"
"89","Alyse  Ford","Arizona St.","Sr.","5-11","OH","98","363","3.70"
"90","Kam Terry","Elon","Sr.","5-11","OH","97","359","3.70"
"91","Macy Austin","UTEP","Jr.","6-0","OH","99","366","3.70"
"92","Mac May","UCLA","So.","6-3","OH","101","373","3.69"
"93","Taylor Slover","Fresno St.","Sr.","6-1","OH","130","480","3.69"
"94","Piper Thomas","UNI","Sr.","6-1","MH","126","465","3.69"
"95","Olivia Lohmeier","Morehead St.","So.","6-0","OH","112","413","3.69"
"96","Cathryn Cheek","Drake","Sr.","5-10","OH","116","426","3.67"
"97","Mikaila Dowd","Georgia Tech","Fr.","6-1","OH","115","422","3.67"
"98","Laura Masciullo","Hofstra","Jr.","6-0","OH","127","466","3.67"
"99","Andrea Hale","Weber St.","Sr.","6-3","OH","101","370","3.66"
"100","Massiel Matos","Fla. Atlantic","Jr.","6-0","OH","101","369","3.65"
"101","Sigourney Kame","Fla. Atlantic","Jr.","6-1","RS","88","320","3.64"
"102","Krista Boesing","Samford","Sr.","5-10","OH","136","494","3.63"
"103","Ellie Dunn","Ball St.","Sr.","6-1","OH","120","435","3.63"
"104","Teni Sopitan","NC State","Sr.","6-1","MB","108","391","3.62"
"105","Jordan Smith","Eastern Mich.","Sr.","5-10","OH","126","456","3.62"
"106","Mallory Mattingly","Jacksonville","Jr.","5-10","OH","106","383","3.61"
"107","Sabryn Roberts","Boise St.","Sr.","5-8","OH","112","404","3.61"
"108","Hailey Dirrigl","Arkansas","So.","6-2","OH","89","321","3.61"
"109","Nika Markovic","Pittsburgh","Jr.","6-0","RS","103","371","3.60"
"110","Mikayla Vivens","Houston Baptist","So.","5-9","OH","124","445","3.59"
"111","Taylor Louis","Iowa","Sr.","6-2","OH","120","430","3.58"
"","Kayla Lund","Pittsburgh","So.","6-0","OH","108","387","3.58"
"113","Ann Ernst","Loyola Maryland","Jr.","5-9","OH","119","426","3.58"
"114","Melanie McHenry","Louisville","Jr.","6-2","OH","107","383","3.58"
"115","Sarah Colla","Campbell","Fr.","5-10","OH","95","340","3.58"
"116","Sarah Sharp","Idaho","Sr.","6-4","OH","123","440","3.58"
"117","Emily Allen","UC Davis","Sr.","5-8","OH","106","379","3.58"
"118","Kylie Kuyava-Deberg","Missouri","So.","6-4","OH","119","425","3.57"
"119","Efrosini Alexakou","St. John's (NY)","Fr.","6-1","OH","104","371","3.57"
"120","Lauryn Dela Cruz","Chicago St.","Sr.","5-8","OH","106","377","3.56"
"121","Miajavon Coleman","Coppin St.","Fr.","5-11","OH","117","415","3.55"
"122","Sabrina Stillwell","Brown","Sr.","6-0","RS","81","287","3.54"
"123","Gaby Alicea","Binghamton","Sr.","6-1","OH","92","324","3.52"
"124","Cara Guthrie","UNC Asheville","Sr.","5-10","OH","100","352","3.52"
"125","Jac'cara Walker","South Fla.","Jr.","5-10","OH","112","394","3.52"
"126","Kaity Smith","Virginia Tech","So.","6-1","OH","107","376","3.51"
"127","Lindsey Vander Weide","Oregon","Sr.","6-3","OH","123","432","3.51"
"128","Margherita Bianchin","FIU","Sr.","6-0","OH","117","410","3.50"
"129","Mariana Brambilla","Georgia Tech","Fr.","5-11","OH","125","438","3.50"
"130","Kennedy Madison","Col. of Charleston","Sr.","6-0","MB","131","459","3.50"
"131","Aleksandra Kazala","American","Sr.","6-0","OH","116","406","3.50"
"132","Stephanie Samedy","Minnesota","So.","6-2","RS","103","359","3.49"
"133","Lauren Chastang","Kennesaw St.","So.","5-11","OH","120","417","3.48"
"134","Jada Burse","Kansas","Jr.","6-1","OH","108","374","3.46"
"135","Mima Mirkovic","California","So.","5-11","OH","117","405","3.46"
"136","Mayda Garcia","Fairfield","Jr.","5-9","OH","94","325","3.46"
"137","Kylee Zumach","Kansas St.","Sr.","6-4","OH","93","321","3.45"
"138","Kaitlin Morley","Fordham","Jr.","5-10","OH","108","372","3.44"
"139","Jemma Yeadon","Notre Dame","Jr.","5-9","OH","79","272","3.44"
"140","Catie Cronister","Wofford","Jr.","5-10","OH","111","382","3.44"
"141","Sarah Billiard","Virginia","So.","6-0","OH","107","368","3.44"
"142","Jordan Jefferson","Bethune-Cookman","So.","5-8","OH","116","397","3.42"
"143","Bethany Clapp","Incarnate Word","So.","6-0","-","95","324","3.41"
"144","Kayla Afoa","Nevada","So.","5-9","OH","113","385","3.41"
"145","Maggie Nedoma","Southern Ill.","So.","6-0","OPP","73","248","3.40"
"146","Cassie Knutson","Eastern Ky.","Sr.","5-10","S","104","353","3.39"
"147","Rachel Anderson","Western Ky.","Sr.","6-1","MH","117","397","3.39"
"148","Brooke Bailey","Clemson","So.","6-2","OH","129","437","3.39"
"149","Maggie O'Connell","Princeton","Jr.","6-4","MB","80","271","3.39"
"150","Tatyana Battle","New Mexico St.","Sr.","6-0","OH","124","420","3.39"
Reclassifying
"NR","Tesa Oaks","California Baptist","So.","5-11","OH","117","408","3.49"

NCAA Women's Volleyball
Division IKills SG Highs
Through Games 12/15/2018


"Rank","Name","Team","Cl","Ht","Pos","Kills"

No rankings for this category 

NCAA Women's Volleyball
Division IPoints Per Set
Through Games 12/15/2018


"Rank","Name","Team","Cl","Ht","Pos","S","Kills","Aces","Block Solos","Block Assists","Per Set"
"1","Jordan Thompson","Cincinnati","Jr.","6-4","RS","132","827","46","7","58","6.89"
"2","Lindsey Ruddins","UC Santa Barbara","Jr.","6-2","OH","110","587","41","9","50","6.02"
"3","Torrey Van Winden","Cal Poly","Jr.","6-3","OH","92","466","21","6","71","5.74"
"4","Veronica Jones-Perry","BYU","Sr.","6-0","OH","105","506","42","2","70","5.57"
"5","Mariena Hayden","UNLV","So.","6-0","OH","127","543","114","11","44","5.43"
"6","Kathryn Plummer","Stanford","Jr.","6-6","OH","116","545","34","8","72","5.37"
"7","Carlisa May","Arkansas St.","Sr.","5-10","OH","123","584","31","15","30","5.24"
"8","Elan McCall","TCU","Fr.","6-0","OH","78","370","14","4","37","5.21"
"9","Hollann Hans","Texas A&M","Jr.","6-1","OH","120","528","64","10","44","5.20"
"10","Karlie Taylor","UNI","Jr.","5-11","OH","118","563","21","16","27","5.20"
"11","Emily Stroup","Ole Miss","Jr.","6-0","OH","124","584","31","15","20","5.16"
"12","Yossiana Pressley","Baylor","So.","6-0","OH","110","517","13","2","68","5.15"
"13","Taylor Wolf","Green Bay","So.","6-2","S","113","513","33","3","63","5.14"
"14","Kendra Dahlke","Arizona","Sr.","6-0","OH","102","487","15","10","20","5.12"
"15","McKenna Melville","UCF","Fr.","6-1","OH","117","529","24","17","35","5.02"
"16","Leah Edmond","Kentucky","Jr.","6-2","OH","109","498","15","12","42","5.01"
"17","Payton Caffrey","Florida St.","So.","6-0","OH","109","476","25","9","53","4.92"
"18","Allie Barber","Marquette","Jr.","6-5","OH","115","537","2","3","42","4.90"
"19","Brooke Botkin","Southern California","So.","6-1","OH","114","500","25","10","35","4.85"
"","Erika Pritchard","Maryland","So.","6-2","OH","114","493","22","10","55","4.85"
"21","Alyssa Enneking","Oklahoma","Sr.","5-11","OPP","108","479","17","4","46","4.84"
"22","Andrea Mitrovic","Buffalo","So.","6-2","OH","110","474","26","10","39","4.81"
"23","Sherridan Atkinson","Purdue","Sr.","6-5","OH","130","546","34","12","63","4.80"
"24","Khalia Lanier","Southern California","Jr.","6-2","OH","107","457","38","2","28","4.78"
"25","Dana Rettke","Wisconsin","So.","6-8","MB","117","438","22","15","165","4.76"
"26","Maria Bellinger","Delaware","Jr.","6-1","OH","106","464","20","0","40","4.75"
"27","Jacqueline Quade","Illinois","Jr.","6-2","OH","132","560","32","3","60","4.73"
"28","Ciara DeBell","Marshall","So.","6-2","OH","103","437","19","15","32","4.73"
"29","Carlyle Nusbaum","Lipscomb","Sr.","5-10","OH","108","436","33","23","33","4.71"
"30","Kylie Grandy","Southern Miss.","Sr.","5-11","OH","126","530","41","10","24","4.71"
"31","Dani Drews","Utah","So.","6-0","RS","126","522","38","6","52","4.70"
"32","Taylor Cunningham","Sam Houston St.","Sr.","5-11","MB","108","422","15","11","116","4.69"
"33","Jenna Bridges","Hartford","Jr.","6-2","MB","86","353","0","12","74","4.67"
"34","T'Ara Ceasar","Georgia","So.","6-1","OH","90","376","20","8","30","4.66"
"35","Carly Skjodt","Michigan","Sr.","6-1","OH","122","512","26","12","31","4.64"
"36","Mikaela Foecke","Nebraska","Sr.","6-3","OH","133","514","46","8","96","4.63"
"37","Aeryn Owens","CSUN","Sr.","6-0","OH","108","446","25","12","34","4.63"
"38","Breana Runnels","Colorado St.","So.","5-10","OH","112","454","29","6","59","4.63"
"39","Polina Shemanova","Syracuse","Fr.","6-0","OH","106","447","9","5","59","4.63"
"40","Taryn Kloth","Creighton","Sr.","6-4","OH","118","490","28","10","36","4.63"
"41","Lauren Bruns","Dayton","Sr.","6-1","OH","118","502","10","3","59","4.61"
"42","Jess Schaben","Iowa St.","Sr.","6-2","OH","123","516","8","12","63","4.61"
"43","Rachel Tam","Evansville","Jr.","5-9","OH","117","492","25","2","39","4.60"
"44","Nicole Lennon","Rice","So.","6-2","OH","118","482","19","11","60","4.59"
"45","Hayley Dotseth","South Dakota","Sr.","5-11","OH","111","447","35","6","39","4.57"
"46","Rachel Giustino","Murray St.","Jr.","5-10","OH","116","470","29","6","45","4.55"
"47","Anett Nemeth","Coastal Caro.","Fr.","6-1","OPP","93","350","22","19","63","4.54"
"48","Lucia Babic","UMES","Sr.","5-10","OH","92","354","39","2","39","4.51"
"49","Taylor Bannister","LSU","So.","6-5","MB","113","456","19","9","48","4.50"
"50","Erica Haslag","Bradley","Sr.","5-11","OH","127","543","0","6","43","4.49"
"51","Sharlissa de Jesus","The Citadel","So.","5-9","OH","104","406","42","8","22","4.49"
"52","Kazna Tarawhiti","Utah Valley","Fr.","5-11","OH","139","558","24","6","72","4.49"
"53","Megann Delgado","Hampton","Jr.","6-2","RS","103","398","46","6","24","4.49"
"54","Leah Clayton","ETSU","Jr.","5-11","OH","125","503","26","10","42","4.48"
"55","Cortney VanLiew","FGCU","So.","5-11","OH","120","482","27","10","37","4.48"
"56","Tessa Grubbs","Tennessee","Jr.","6-3","OH","108","453","2","10","35","4.47"
"57","Meg Wolowicz","Northern Ill.","Sr.","6-4","MB","120","480","27","9","38","4.46"
"58","Maya Taylor","Saint Louis","So.","5-11","OH","98","403","22","5","12","4.45"
"59","Sara Kovac","LMU (CA)","Sr.","6-0","OPP","111","448","21","2","45","4.45"
"60","Kaitlyn Lines","Pacific","So.","6-0","OH","113","437","41","6","36","4.44"
"61","Janet Kalaniuvalu","Southern Utah","So.","6-2","OH","112","451","22","3","41","4.43"
"62","Courteney Pitt","N.C. A&T","So.","6-1","OH","89","354","23","4","27","4.43"
"63","Taylor Mims","Washington St.","Sr.","6-3","OH","108","411","29","14","47","4.42"
"64","Mikaela Nocetti","Sacramento St.","Sr.","5-11","OH","114","450","37","3","27","4.42"
"65","Devon Rachel","Col. of Charleston","Sr.","6-0","OH","128","512","25","8","37","4.40"
"66","Maria Yvett Garcia","Florida A&M","Jr.","6-1","OH","103","402","26","6","38","4.40"
"67","Kylie Kuyava-Deberg","Missouri","So.","6-4","OH","119","425","59","13","50","4.39"
"68","Caylee Parker","UConn","Fr.","5-11","OH","109","433","21","4","39","4.38"
"69","Massiel Matos","Fla. Atlantic","Jr.","6-0","OH","101","369","44","12","34","4.38"
"70","Micaya White","Texas","Jr.","6-1","OH","101","391","21","6","46","4.37"
"71","Kara Bajema","Washington","Jr.","6-2","OH","123","475","25","12","43","4.34"
"","Abby Garrity","Idaho St.","Sr.","6-0","OH","123","485","27","7","29","4.34"
"73","Nika Markovic","Pittsburgh","Jr.","6-0","RS","103","371","29","4","85","4.33"
"74","Skylar Iott","George Washington","Jr.","6-0","OH","99","385","21","3","35","4.31"
"75","Claire Archibald","Iona","Sr.","5-10","OH","102","396","28","2","24","4.29"
"76","Andrea Hale","Weber St.","Sr.","6-3","OH","101","370","34","5","49","4.29"
"77","Ragni Steen Knudsen","UTRGV","Sr.","5-11","OH","105","409","21","2","37","4.29"
"78","Rachel Bontrager","Western Mich.","So.","5-11","OH","116","435","21","27","29","4.29"
"","Cheyenne Hayes","Troy","So.","5-9","OH","116","441","39","3","29","4.29"
"80","Haley Libs","Northern Ky.","Sr.","6-0","OH","121","470","28","3","35","4.29"
"81","Jaali Winters","Creighton","Sr.","6-3","OH","118","451","25","9","40","4.28"
"82","Taylor Slover","Fresno St.","Sr.","6-1","OH","130","480","36","14","51","4.27"
"83","Liisel Nelis","Sacred Heart","Jr.","5-10","OH","99","379","25","2","30","4.25"
"84","Alexa Smith","Colorado","Sr.","6-1","OH","125","465","25","11","56","4.23"
"85","Nia Robinson","Northwestern","So.","6-2","OH","101","394","17","3","24","4.22"
"86","Mac May","UCLA","So.","6-3","OH","101","373","34","7","22","4.21"
"87","Olivia Lohmeier","Morehead St.","So.","6-0","OH","112","413","25","6","53","4.20"
"88","Nicole Rightnowar","Purdue Fort Wayne","Sr.","5-11","OH","120","455","25","1","46","4.20"
"89","Cathryn Cheek","Drake","Sr.","5-10","OH","116","426","16","10","70","4.20"
"90","Sabryn Roberts","Boise St.","Sr.","5-8","OH","112","404","20","8","73","4.18"
"91","Piper Thomas","UNI","Sr.","6-1","MH","126","465","0","26","72","4.18"
"92","Dacia Brown","Murray St.","Sr.","5-11","MB","116","445","9","11","40","4.18"
"93","Sarah Colla","Campbell","Fr.","5-10","OH","95","340","30","5","44","4.18"
"94","Catie Cronister","Wofford","Jr.","5-10","OH","111","382","48","8","49","4.17"
"95","Mallory Mattingly","Jacksonville","Jr.","5-10","OH","106","383","39","6","27","4.17"
"96","Valerie Valerian","North Texas","So.","6-1","OH","131","495","24","9","35","4.16"
"97","Rachel Anderson","Western Ky.","Sr.","6-1","MH","117","397","14","37","76","4.15"
"98","Devin Corah","La Salle","Jr.","5-9","OH","107","412","3","7","43","4.14"
"99","Stephanie Samedy","Minnesota","So.","6-2","RS","103","359","21","3","81","4.11"
"100","Mikayla Vivens","Houston Baptist","So.","5-9","OH","124","445","33","3","57","4.11"
"101","Kayla Lund","Pittsburgh","So.","6-0","OH","108","387","38","5","24","4.09"
"102","Kat Miller","Quinnipiac","Sr.","5-11","RS","112","366","47","7","76","4.09"
"103","Margherita Bianchin","FIU","Sr.","6-0","OH","117","410","34","4","60","4.09"
"104","Reeana Richardson","Charlotte","Sr.","5-10","OH","117","441","10","2","47","4.07"
"105","Ellie Dunn","Ball St.","Sr.","6-1","OH","120","435","16","13","47","4.06"
"106","Gaby Alicea","Binghamton","Sr.","6-1","OH","92","324","23","7","36","4.04"
"107","Lauryn Dela Cruz","Chicago St.","Sr.","5-8","OH","106","377","20","14","35","4.04"
"108","Lindsey Vander Weide","Oregon","Sr.","6-3","OH","123","432","33","7","49","4.04"
"109","Samantha Anderson","Central Ark.","Sr.","6-3","MB","113","422","0","5","57","4.03"
"110","Mikaila Dowd","Georgia Tech","Fr.","6-1","OH","115","422","18","6","35","4.03"
"111","Kam Terry","Elon","Sr.","5-11","OH","97","359","15","0","33","4.03"
"112","Macy Austin","UTEP","Jr.","6-0","OH","99","366","18","1","27","4.03"
"113","Jordan Smith","Eastern Mich.","Sr.","5-10","OH","126","456","25","7","38","4.02"
"114","Emma Longley","Appalachian St.","Jr.","5-11","OH","109","406","12","12","17","4.02"
"115","Alyse  Ford","Arizona St.","Sr.","5-11","OH","98","363","5","19","14","4.02"
"116","Cara Guthrie","UNC Asheville","Sr.","5-10","OH","100","352","36","2","23","4.02"
"117","Hailey Dirrigl","Arkansas","So.","6-2","OH","89","321","20","7","18","4.01"
"118","Hannah Flowers","Memphis","So.","6-2","RS","114","373","45","2","73","4.00"
"119","Aleksandra Kazala","American","Sr.","6-0","OH","116","406","25","6","53","4.00"
"120","Emily Allen","UC Davis","Sr.","5-8","OH","106","379","24","2","37","4.00"
"121","Melanie McHenry","Louisville","Jr.","6-2","OH","107","383","19","11","28","3.99"
"122","Teni Sopitan","NC State","Sr.","6-1","MB","108","391","0","23","30","3.97"
"123","Deja Harris","San Diego St.","Sr.","6-2","MB","125","376","22","25","147","3.97"
"124","Abby Thelen","Seton Hall","Sr.","6-1","OH","105","391","1","5","40","3.97"
"125","Sabrina Stillwell","Brown","Sr.","6-0","RS","81","287","25","0","18","3.96"
"126","Taylor Louis","Iowa","Sr.","6-2","OH","120","430","10","14","42","3.96"
"127","Kennedy Madison","Col. of Charleston","Sr.","6-0","MB","131","459","5","21","66","3.95"
"128","Julia Pierson","Tennessee St.","Jr.","6-0","OH","108","364","25","7","62","3.95"
"129","Laura Masciullo","Hofstra","Jr.","6-0","OH","127","466","1","2","66","3.95"
"130","Cassie Haut","Eastern Mich.","Jr.","6-2","RS","122","392","16","25","93","3.93"
"131","Shelly Stafford","Baylor","Jr.","6-2","MB","118","370","21","7","130","3.92"
"132","Krista Boesing","Samford","Sr.","5-10","OH","136","494","2","19","35","3.92"
"133","Sarah Sharp","Idaho","Sr.","6-4","OH","123","440","0","10","63","3.91"
"134","Kylee Zumach","Kansas St.","Sr.","6-4","OH","93","321","10","8","49","3.91"
"135","Lauren Chastang","Kennesaw St.","So.","5-11","OH","120","417","20","5","54","3.91"
"136","Emily Thorson","Tulsa","Sr.","6-2","OH","113","370","33","19","39","3.91"
"137","Mima Mirkovic","California","So.","5-11","OH","117","405","29","7","32","3.91"
"138","Efrosini Alexakou","St. John's (NY)","Fr.","6-1","OH","104","371","18","2","30","3.90"
"139","Bethany Clapp","Incarnate Word","So.","6-0","-","95","324","22","1","45","3.89"
"140","Erica Treiber","Tennessee","Sr.","6-1","MH","125","363","46","15","123","3.88"
"141","Lauren Twitty","New Mexico","Jr.","6-2","OH","121","407","23","11","57","3.88"
"142","Kaity Smith","Virginia Tech","So.","6-1","OH","107","376","25","1","26","3.88"
"143","Ann Ernst","Loyola Maryland","Jr.","5-9","OH","119","426","17","1","34","3.87"
"144","Ronika Stone","Oregon","Jr.","6-2","MB","126","380","23","20","130","3.87"
"145","Mariana Brambilla","Georgia Tech","Fr.","5-11","OH","125","438","29","5","24","3.87"
"146","Zoe McBride","Morgan St.","Fr.","6-0","OH","102","329","42","5","37","3.87"
"147","Jamie Walling","Oakland","So.","6-1","MH","108","364","13","1","79","3.87"
"148","Tatyana Battle","New Mexico St.","Sr.","6-0","OH","124","420","32","4","46","3.86"
"149","Taylor Wilson","South Dakota","Sr.","6-0","MB","111","362","14","17","71","3.86"
"150","Maddi Sgattoni","Navy","So.","5-8","OH","118","393","41","3","37","3.86"
Reclassifying
"NR","Tesa Oaks","California Baptist","So.","5-11","OH","117","408","34","4","36","3.97"

NCAA Women's Volleyball
Division ITriple Doubles
Through Games 12/15/2018


"Rank","Name","Team","Cl","Ht","Pos","S","Trpl Dbl"
